Opponent 1,Opponent 2,Result,Method,Date
Andre Gorges,Guy Packer,Win,UD,2009-03-28
Andre Gorges,Mike Fitzgerald,Win,TKO,2009-01-31
Andre Gorges,Joshua Rodriguez,Win,TKO,2008-11-14
Andre Gorges,Jamal Kahn,Win,KO,2008-09-19
Andre Gorges,Eric Rue,Win,TKO,2008-08-07
Andre Gorges,Dustin Cooley,Win,TKO,2008-06-20
Angel Rios,Edward Hulse,Win,KO,1999-07-20
Angel Rios,Brett Corbett,Win,KO,1999-10-08
Angel Rios,Freddy Soto,Loss,PTS,2000-02-01
Angel Rios,Walusimbi Kizito,Win,UD,2000-05-16
Angel Rios,Roman Lawson,Win,TKO,2000-10-11
Angel Rios,Nelson Alvarez,Win,RTD,2001-01-17
Angel Rios,Luis Melendez,Win,TKO,2001-03-24
Angel Rios,Walter Speight,Win,PTS,2001-04-08
Angel Rios,Ramsey Billiot,Win,TKO,2001-04-24
Angel Rios,Nate Campbell,Loss,UD,2001-05-11
Angel Rios,Michael Cribbin,Win,UD,2001-06-22
Angel Rios,Carl Johanneson,Loss,UD,2001-12-14
Angel Rios,Mike Anchondo,Loss,UD,2003-01-16
Angel Rios,Stephon Owusu,Loss,UD,2011-07-07
Angel Rios,Victor Vasquez,Loss,MD,2011-08-12
Angel Rios,Terence Crawford,Loss,UD,2011-09-10
Angel Rios,Raymond Serrano,Loss,UD,2011-10-22
Angel Rios,Dorin Spivey,Loss,UD,2011-12-02
Angel Rios,Issouf Kinda,Loss,UD,2012-01-28
Angel Rios,Rod Salka,Loss,UD,2012-04-07
Angel Rios,Hector Serrano,Loss,UD,2012-05-11
Angel Rios,Johnny Garcia,Loss,UD,2012-06-30
Angel Rios,Lanardo Tyner,Loss,UD,2012-10-12
Angel Rios,James Stevenson,Loss,UD,2012-10-20
Angel Rios,Jessie Roman,Loss,UD,2012-11-17
Angel Rios,Levan Ghvamichava,Loss,TKO,2013-03-15
Angel Rios,Bill Hutchinson,Loss,UD,2013-07-13
Angel Rios,Willie Fortune,Loss,UD,2013-10-17
Derrick Campos,Terence Crawford,Loss,TKO,2011-07-30
Derrick Campos,Jose A Gonzalez-Ramos,Loss,TKO,2011-02-05
Derrick Campos,Diego Magdaleno,Loss,TKO,2010-11-06
Derrick Campos,Eloy Perez,Loss,KO,2010-08-13
Derrick Campos,Archie Ray Marquez,Loss,UD,2010-01-29
Derrick Campos,Andrei Isayeu,Loss,MD,2009-11-07
Derrick Campos,Chris Hill,Win,UD,2009-08-29
Derrick Campos,Steve Mincks,Win,TKO,2009-06-19
Derrick Campos,Antony Nelson,Win,UD,2009-04-10
Derrick Campos,Dmitriy Salita,Loss,UD,2008-11-08
Derrick Campos,Shad Howard,Win,UD,2008-06-20
Derrick Campos,Robert Franckel,Loss,MD,2008-05-08
Derrick Campos,Marty Robbins,Win,SD,2008-04-04
Derrick Campos,Anthony Ivy,Win,TKO,2007-11-23
Derrick Campos,Chris Hill,Win,UD,2007-09-29
Derrick Campos,Ramon Montano,Loss,UD,2007-07-13
Derrick Campos,Lee Cargle,Win,UD,2007-06-30
Derrick Campos,Jermaine White,Win,TKO,2007-06-08
Derrick Campos,Ryan Maraldo,Win,UD,2007-05-05
Derrick Campos,Wayne Beeghly,Win,TKO,2007-04-13
Derrick Campos,Ryan Maraldo,Win,UD,2007-02-03
Derrick Campos,Rodney Hughes,Win,TKO,2006-11-01
Derrick Campos,Kareem Hurley,Win,TKO,2006-09-29
Derrick Campos,Jorge Paez Jr,Loss,MD,2006-09-16
Derrick Campos,Jesse King,Win,TKO,2006-08-26
Derrick Campos,Kareem Hurley,Win,KO,2006-05-27
Derrick Campos,Bruce Sessman,Win,TKO,2006-02-01
Derrick Campos,Tyler Ziolkowski,Win,MD,2005-12-10
Derrick Campos,Tyler Ziolkowski,Loss,UD,2005-09-10
Derrick Campos,Isiac Nelson,Win,KO,2005-05-07
Derrick Campos,Michael Maley,Win,TKO,2005-01-22
Derrick Campos,Aaron Drake,Loss,UD,2004-11-19
Anthony Mora,Terence Crawford,Loss,KO,2011-02-26
Anthony Mora,Ravshan Hudaynazarov,Loss,KO,2010-03-27
Anthony Mora,Jose Armando Santa Cruz,Loss,TKO,2009-12-05
Anthony Mora,Josesito Lopez,Loss,RTD,2009-09-11
Anthony Mora,Donaldo Holguin,Loss,UD,2009-01-24
Anthony Mora,Randall Bailey,Loss,TKO,2008-01-18
Anthony Mora,Rustam Nugaev,Loss,RTD,2006-03-03
Anthony Mora,Roberto Valenzuela,Win,UD,2006-01-31
Anthony Mora,Corey Alarcon,Win,KO,2005-07-21
Anthony Mora,Arthur Medina,Win,UD,2005-02-24
Anthony Mora,Julian Romero,Win,KO,2004-03-05
Anthony Mora,Orlando Jesus Soto,Win,UD,2003-05-16
Anthony Mora,Ronnie Longakit,Win,TKO,2002-07-21
Anthony Mora,Chris Regular,Win,TKO,2002-03-29
Anthony Mora,Antonio Ramirez,Win,KO,2002-01-25
Anthony Mora,Roberto Jainaiz,Win,KO,2001-10-20
Anthony Mora,Arnel Salvana,Win,UD,2001-09-29
Anthony Mora,Reginald Boggs,Win,RTD,2001-06-03
Anthony Mora,Terry White,Win,TKO,2001-05-20
Anthony Mora,Eric Brown,Win,TKO,2001-04-01
Anthony Mora,Martin Llamas,Win,UD,2000-11-12
Anthony Mora,Jamal Hodges,Win,TKO,2000-06-30
Ron Boyd,Terence Crawford,Loss,TKO,2010-07-31
Ron Boyd,Tyrell Samuel,Draw,MD,2010-05-28
Ron Boyd,Michael Perez,Loss,TKO,2009-12-02
Ron Boyd,Francisco Contreras Lopez,Loss,TKO,2009-10-10
Ron Boyd,Guillermo Sanchez,Loss,TKO,2009-06-19
Ron Boyd,Antonio Espinosa,Loss,UD,2009-05-23
Ron Boyd,Ikem Orji,Loss,UD,2009-04-24
Ron Boyd,Dean White,Win,SD,2009-02-20
Ron Boyd,Tyrell Samuel,Loss,UD,2008-11-20
Ron Boyd,Tyrell Samuel,Loss,SD,2008-09-25
Ron Boyd,Eloy Perez,Loss,KO,2007-10-26
Ron Boyd,John Molina Jr,Loss,TKO,2007-08-18
Ron Boyd,Jorge Lara,Win,KO,2007-03-08
Ron Boyd,Corey Goodwin,Win,UD,2007-02-17
Ron Boyd,James Franks,Win,TKO,2006-08-25
Ron Boyd,Mike Ricasa,Win,MD,2005-07-21
Ron Boyd,Joey Van Daniker,Win,DQ,2005-06-11
Ron Boyd,Andrew Weston,Loss,TKO,2003-01-16
Marty Robbins,Dedrick Bell,Win,UD,2014-04-05
Marty Robbins,Terence Crawford,Loss,KO,2010-05-01
Marty Robbins,Matt Remillard,Loss,UD,2009-12-19
Marty Robbins,William Ware,Win,UD,2009-11-21
Marty Robbins,Rashad Ganaway,Loss,UD,2009-05-30
Marty Robbins,Andrew Farmer,Loss,UD,2009-05-09
Marty Robbins,Richar Abril,Loss,UD,2008-05-30
Marty Robbins,Derrick Campos,Loss,SD,2008-04-04
Marty Robbins,Juan Urango,Loss,TKO,2007-12-05
Marty Robbins,Derrick Samuels,Loss,UD,2007-11-09
Marty Robbins,Orlando Salido,Loss,UD,2007-09-14
Marty Robbins,Terrance Roy,Win,UD,2007-08-09
Marty Robbins,Monty Meza Clay,Loss,UD,2007-02-22
Marty Robbins,Jorge Lacierva,Loss,UD,2007-02-02
Marty Robbins,Ira Terry,Loss,UD,2007-01-20
Marty Robbins,Antonio Davis,Loss,UD,2006-08-26
Marty Robbins,Verquan Kimbrough,Loss,UD,2006-08-11
Marty Robbins,Jerome Pillow,Loss,UD,2006-03-31
Marty Robbins,Joey Rios,Loss,UD,2006-03-02
Marty Robbins,Dean White,Loss,SD,2006-01-20
Marty Robbins,Ray Narh,Loss,UD,2005-10-26
Marty Robbins,Elio Rojas,Loss,UD,2005-09-03
Marty Robbins,Verquan Kimbrough,Loss,UD,2005-08-11
Marty Robbins,Jeff Williams,Win,UD,2005-07-30
Marty Robbins,Tyron Harris,Loss,TKO,2005-06-16
Marty Robbins,Chris Burford,Win,UD,2005-06-02
Marty Robbins,Paul Delgado,Loss,UD,2005-05-05
Marty Robbins,Isaac Hlatshwayo,NC,NC,2005-02-04
Marty Robbins,Jose Reyes,Loss,UD,2004-09-10
Marty Robbins,Joe Wyatt,Loss,UD,2004-07-17
Marty Robbins,Mike Arnaoutis,Loss,UD,2004-06-17
Marty Robbins,Michael Clark,Loss,UD,2004-06-04
Marty Robbins,Martin Cornejo,Win,MD,2004-04-22
Marty Robbins,Shamir Reyes,Loss,UD,2004-04-15
Marty Robbins,David Santos,Loss,TKO,2004-02-15
Marty Robbins,Edner Cherry,Loss,UD,2004-01-23
Marty Robbins,Chris Burford,Win,TKO,2003-12-02
Marty Robbins,Andy Dailey,Win,TKO,2003-11-11
Marty Robbins,Clay Conrad,Win,TKO,2003-11-04
Marty Robbins,Richard Dinkins,Win,TKO,2003-10-25
Marty Robbins,Al Seeger,Loss,TKO,2003-08-30
Marty Robbins,Antonio Ramirez,Loss,UD,2003-07-25
Marty Robbins,Doug Davis,Win,TKO,2003-07-19
Marty Robbins,Emmanuel Lucero,Loss,UD,2003-05-10
Marty Robbins,Lou Bizzarro,Loss,UD,2003-04-04
Marty Robbins,Oscar Leon,Loss,TKO,2003-01-04
Corey Sommerville,Jimmy Holloway,Win,TKO,2007-11-13
Corey Sommerville,Jermell Charlo,Loss,UD,2007-12-08
Corey Sommerville,Rafael Bejaran,Loss,KO,2008-07-18
Corey Sommerville,Issouf Kinda,Loss,TKO,2009-08-13
Corey Sommerville,Terence Crawford,Loss,TKO,2009-12-19
Corey Sommerville,Miguel Angel Gonzalez,Loss,TKO,2010-07-10
Steve Marquez,Isaac Johnson,Win,MD,2024-12-14
Steve Marquez,Sergio Lopez,Win,UD,2023-11-11
Steve Marquez,Alejandro Ibarra,Loss,UD,2020-01-24
Steve Marquez,Arthur Medina,Win,TKO,2019-04-13
Steve Marquez,Mike Montoya,Loss,UD,2017-12-16
Steve Marquez,Artemio Reyes,Loss,KO,2017-08-05
Steve Marquez,Corey Bernard,Win,UD,2017-07-08
Steve Marquez,Daniel Calzada,Loss,UD,2017-01-14
Steve Marquez,Daniel Gonzalez,Win,TKO,2016-10-29
Steve Marquez,Brad Jackson,Win,RTD,2016-08-13
Steve Marquez,Brad Jackson,Win,TKO,2016-04-30
Steve Marquez,H Katrell Straus,Win,UD,2016-01-30
Steve Marquez,Zamir Young,Win,TKO,2015-09-26
Steve Marquez,Steve Victor,Win,UD,2015-05-29
Steve Marquez,Sean Rawley Wilson,Draw,SD,2012-05-11
Steve Marquez,Jose Morales,NC,NC,2011-08-19
Steve Marquez,Randy Arrellin,Loss,UD,2010-11-13
Steve Marquez,Jesus Antonio Hernandez,Loss,UD,2010-10-22
Steve Marquez,Terence Crawford,Loss,TKO,2009-10-31
Steve Marquez,Chris Hill,Win,UD,2009-08-22
Steve Marquez,Juan Santiago,Loss,UD,2009-06-27
Steve Marquez,Brad Jackson,Loss,UD,2009-01-31
Steve Marquez,Jose Antonio Ojeda,Loss,TKO,2007-11-30
Steve Marquez,Seth Hebenstreit,Win,UD,2007-09-29
Steve Marquez,Hector Saez,Loss,TKO,2007-06-30
Steve Marquez,Tyrese Hendrix,Loss,UD,2007-06-01
Steve Marquez,Hector Munoz,Loss,TKO,2006-09-23
Steve Marquez,Hilario Lopez,Loss,KO,2006-07-29
Steve Marquez,Sergio Vela,Win,TKO,2006-07-01
Steve Marquez,Jesus Noriega,Win,TKO,2006-06-24
Steve Marquez,Robert Franckel,Loss,UD,2006-01-26
Steve Marquez,Carlos Madrid,Loss,UD,2005-09-16
Steve Marquez,Matt Trejo,Loss,TKO,2005-07-09
Steve Marquez,Jeremiah Torres,Loss,UD,2004-12-10
Steve Marquez,Joe Gomez,Loss,UD,2004-08-28
Steve Marquez,Tony Morales,Win,TKO,2004-07-03
Steve Marquez,Alfred Salinas,Draw,MD,2004-04-03
Steve Marquez,James Martinez,Win,TKO,2004-03-15
Steve Marquez,Colbert Lou Lozoya,Win,KO,2004-02-21
Steve Marquez,Avelino Chavez,Loss,TKO,2003-03-28
Steve Marquez,Leodegario Capilla,Win,UD,2003-02-28
Steve Marquez,Nazareth Rojas,Loss,UD,2002-11-22
Steve Marquez,Danny Almanzar,Win,TKO,2002-09-21
Miguel Delgado,Angel Rodriguez,Loss,TKO,2009-12-03
Miguel Delgado,Jesus Rodarte,Loss,UD,2009-10-23
Miguel Delgado,Miguel Buendia,Loss,UD,2009-10-10
Miguel Delgado,Arthur Trevino,Loss,SD,2009-08-28
Miguel Delgado,Albert Romero,Draw,MD,2009-06-19
Miguel Delgado,Terence Crawford,Loss,TKO,2009-05-02
Miguel Delgado,Jaime Villa,Loss,UD,2009-04-11
Miguel Delgado,Hector Perez,Loss,MD,2009-02-05
Miguel Delgado,Adauto Gonzalez,Loss,UD,2008-11-22
Miguel Delgado,Alicio Castaneda,Loss,UD,2008-08-15
Miguel Delgado,Cruz Valdivia,Win,KO,2008-04-17
Miguel Delgado,Anthony Smith,Loss,UD,2008-01-31
Miguel Delgado,Elias Lopez,Loss,UD,2005-11-11
Miguel Delgado,Terrance Roy,Loss,SD,2005-07-19
Miguel Delgado,Rayonta Whitfield,Loss,TKO,2005-06-04
Miguel Delgado,Jorge Villa,Win,TKO,2005-05-20
Miguel Delgado,Benjamin Orozco,Win,TKO,2005-03-17
Miguel Delgado,David Vasquez,Loss,SD,2005-02-17
Miguel Delgado,James DuBois,Loss,UD,2004-11-19
Miguel Delgado,Jorge Villa,Loss,MD,2004-10-09
Lucas Rodas,Donnie Holden,Win,UD,2005-12-02
Lucas Rodas,Denny Lundy,Win,KO,2006-02-03
Lucas Rodas,Billy Williams,Win,MD,2006-07-21
Lucas Rodas,Shane Gierke,NC,NC,2006-09-09
Lucas Rodas,Eric Burke,Loss,TKO,2007-05-18
Lucas Rodas,Mike Strauss,Loss,KO,2007-11-24
Lucas Rodas,Mike Post,Loss,UD,2008-02-26
Lucas Rodas,Broderick Antoine,Loss,TKO,2009-01-10
Lucas Rodas,Terence Crawford,Loss,KO,2009-03-21
Lucas Rodas,Jake Giuriceo,Loss,TKO,2009-06-27
Travis Hartman,Mason Menard,Loss,UD,2019-08-17
Travis Hartman,Demetrius Wilson,Win,UD,2019-06-28
Travis Hartman,Kent Cruz,Loss,UD,2019-02-22
Travis Hartman,Chordale Booker,Loss,TKO,2018-04-28
Travis Hartman,Neeco Macias,Loss,TKO,2018-03-09
Travis Hartman,Steven Bloyer,Loss,PTS,2017-10-20
Travis Hartman,Jeremy Marts,Win,TKO,2017-09-30
Travis Hartman,Trevor Marmon,Win,TKO,2016-08-13
Travis Hartman,Miguel Cruz,Loss,KO,2015-08-02
Travis Hartman,Daquan Arnett,Loss,UD,2015-03-26
Travis Hartman,Ahmad Cheikho,Win,TKO,2014-12-06
Travis Hartman,Alex Martin,Loss,UD,2014-11-01
Travis Hartman,Jake Giuriceo,Loss,TKO,2014-07-11
Travis Hartman,Torben Keller,Loss,RTD,2014-04-12
Travis Hartman,Carson Jones,Loss,KO,2013-04-25
Travis Hartman,Haskell Rhodes,Loss,UD,2013-03-16
Travis Hartman,Michael Maley,Win,TKO,2012-06-23
Travis Hartman,Isiac Nelson,Win,KO,2012-03-31
Travis Hartman,Jessie Vargas,Loss,TKO,2009-12-02
Travis Hartman,Tyler Ziolkowski,Loss,UD,2009-11-07
Travis Hartman,Keith Thurman,Loss,TKO,2009-08-14
Travis Hartman,Jeremy Marts,Win,UD,2009-07-17
Travis Hartman,Willie Nelson,Loss,TKO,2009-06-13
Travis Hartman,Danny O'Connor,Loss,UD,2009-04-25
Travis Hartman,Terence Crawford,Loss,UD,2009-03-07
Michael Williams,Gabe Bozeman,Win,TKO,2004-02-13
Michael Williams,Darrell Harris,Win,KO,2004-03-05
Michael Williams,Omar Ballard,Loss,MD,2004-04-30
Michael Williams,Omar Ballard,Win,TKO,2004-05-29
Michael Williams,Omar Ballard,Loss,KO,2004-08-06
Michael Williams,Henry Lundy,Loss,TKO,2006-10-14
Michael Williams,Marcelino Osuna,Loss,UD,2007-01-18
Michael Williams,Jose Gutierrez,Loss,TKO,2007-04-21
Michael Williams,Ira Terry,Win,UD,2008-06-21
Michael Williams,Julio Cardenas,Loss,TKO,2008-07-31
Michael Williams,Michael Gibbons,Win,UD,2008-11-01
Michael Williams,Terence Crawford,Loss,TKO,2008-11-08
Michael Williams,Rashad Ganaway,Loss,TKO,2009-03-07
Michael Williams,Dannie Williams,Loss,TKO,2009-06-13
Aaron Anderson,Terence Crawford,Loss,UD,2008-08-22
Aaron Anderson,Eric Ricker,Loss,UD,2008-11-01
Aaron Anderson,James Lester,Loss,UD,2009-01-31
Aaron Anderson,Frank O'Neal,Loss,MD,2009-03-28
Aaron Anderson,Issouf Kinda,Loss,UD,2009-04-11
Aaron Anderson,Jake Giuriceo,Loss,UD,2009-05-02
Aaron Anderson,Julius Leegrand,Loss,UD,2009-06-27
Aaron Anderson,Elliot Bland,Win,TKO,2010-03-19
Aaron Anderson,Wanzell Ellison,Loss,UD,2010-10-08
Aaron Anderson,Ramon Valadez,Loss,UD,2010-10-28
Aaron Anderson,Mike Denby,Loss,UD,2010-12-18
Aaron Anderson,Donald Haley,Win,UD,2011-04-09
Aaron Anderson,Mason Menard,Loss,UD,2011-06-04
Aaron Anderson,Bahodir Mamadjonov,Loss,TKO,2012-03-22
Aaron Anderson,Joel Baglio,Loss,UD,2012-05-24
Aaron Anderson,James Blake Franklin,Loss,UD,2012-06-08
Aaron Anderson,Chris Singleton,Loss,UD,2012-08-11
Aaron Anderson,Regis Prograis,Loss,KO,2012-08-25
Aaron Anderson,Ivan Otero,Loss,UD,2012-11-10
Aaron Anderson,Kiun Evans,Loss,UD,2012-11-30
Aaron Anderson,Rashad Ganaway,Loss,UD,2012-12-18
Aaron Anderson,Dusty Hernandez Harrison,Loss,UD,2013-02-23
Aaron Anderson,Ivan Otero,Loss,UD,2013-05-16
Aaron Anderson,Taronze Washington,Loss,UD,2013-06-08
Aaron Anderson,Joey Bryant,Loss,UD,2013-08-24
Aaron Anderson,Luis Galarza,Loss,UD,2013-09-07
Aaron Anderson,Travell Mazion,Loss,TKO,2013-09-21
Aaron Anderson,O'Shaquie Foster,Loss,UD,2013-11-02
Aaron Anderson,Karim Martinez,Loss,UD,2013-11-30
Aaron Anderson,Malcolm Terry,Win,SD,2014-01-17
Aaron Anderson,Rogelio Casarez,Loss,UD,2014-01-25
Aaron Anderson,Lanard Lane,Loss,TKO,2014-04-10
Aaron Anderson,Regis Prograis,Loss,TKO,2014-06-07
Aaron Anderson,Antonio Capulin,Loss,UD,2014-07-26
Aaron Anderson,Kiun Evans,Loss,UD,2014-08-30
Aaron Anderson,Donald Ward,Loss,UD,2014-09-20
Aaron Anderson,Devonte Williams,Loss,UD,2014-11-21
Aaron Anderson,Alberto Robles,Loss,UD,2015-01-17
Aaron Anderson,John Vera,Loss,TKO,2015-04-03
Aaron Anderson,Radmir Akhmediyev,Loss,TKO,2015-05-08
Damon Antoine,Michael Anderson,Loss,KO,2015-01-31
Damon Antoine,John Jackson,Loss,UD,2014-12-06
Damon Antoine,Steven Gamache,Loss,UD,2014-10-11
Damon Antoine,Yuri Polishchuk,Loss,UD,2014-08-09
Damon Antoine,Eric Walker,Loss,UD,2014-07-26
Damon Antoine,Gerome Quigley Jr,Loss,TKO,2014-05-17
Damon Antoine,Terron Grant,Loss,UD,2013-12-14
Damon Antoine,Terron Grant,Loss,SD,2013-10-26
Damon Antoine,Genaro Mendez,Loss,UD,2013-09-13
Damon Antoine,Derek Silveira,Loss,UD,2013-08-24
Damon Antoine,Rolando Chinea,Loss,UD,2013-07-19
Damon Antoine,Rashad Bogar,Loss,UD,2013-06-06
Damon Antoine,Charles Natal,NC,NC,2013-05-18
Damon Antoine,Bill Hutchinson,Loss,TKO,2013-04-06
Damon Antoine,Cornelius Lock,Loss,TKO,2013-01-25
Damon Antoine,Ronald Ellis,Loss,KO,2012-12-01
Damon Antoine,James Stevenson,Loss,UD,2012-11-08
Damon Antoine,Shakir Ashanti,Win,UD,2012-10-27
Damon Antoine,Jeremy Bryan,Loss,UD,2012-10-13
Damon Antoine,Juan de la Cruz Rodriguez,Loss,UD,2012-10-06
Damon Antoine,Meegal Harper,Loss,UD,2012-09-08
Damon Antoine,Zack Ramsey,Loss,TKO,2012-07-19
Damon Antoine,Henry Coyle,Loss,UD,2012-06-21
Damon Antoine,Ronnie Green,Win,TKO,2012-06-02
Damon Antoine,John Williams,Loss,UD,2012-05-19
Damon Antoine,Sammy Vasquez,Loss,UD,2012-04-28
Damon Antoine,Ty Barnett,Loss,UD,2012-03-10
Damon Antoine,Andrew Farmer,Loss,UD,2012-02-18
Damon Antoine,Ryan Belasco,Loss,UD,2011-12-02
Damon Antoine,Dorin Spivey,Loss,UD,2011-08-20
Damon Antoine,Yakubu Amidu,Loss,TKO,2011-05-18
Damon Antoine,Chris Hazimihalis,Loss,UD,2011-04-30
Damon Antoine,Vernon Paris,Loss,TKO,2009-12-04
Damon Antoine,Willie Nelson,Loss,KO,2009-02-21
Damon Antoine,Tony Walker,Draw,PTS,2009-01-31
Damon Antoine,Raul Tovar,Win,SD,2008-11-08
Damon Antoine,Pete Cantu,Loss,UD,2008-10-17
Damon Antoine,Terence Crawford,Loss,UD,2008-07-26
Damon Antoine,Travis Hartman,Win,TKO,2008-07-19
Filiberto Nieto,Decarlo Perez,Loss,TKO,2010-09-01
Filiberto Nieto,Chazz McDowell,Loss,UD,2010-03-12
Filiberto Nieto,Terence Crawford,Loss,RTD,2008-04-03
Filiberto Nieto,Angel Juan Estrada,Loss,TKO,2007-05-25
Filiberto Nieto,Jason Cintron,Loss,UD,2006-05-12
Filiberto Nieto,Terrance Thomas,Loss,UD,2005-05-18
Filiberto Nieto,Lorenzo Bethea,Loss,UD,2005-04-02
Filiberto Nieto,Miguel Alvarez,Win,TKO,2004-12-10
Brian Cummings,Juan Santiago,Loss,TKO,2008-07-10
Brian Cummings,Terry Buterbaugh,Loss,UD,2008-05-23
Brian Cummings,Terence Crawford,Loss,KO,2008-03-14
Brian Cummings,Donnie Pacheco,Win,KO,2007-05-24
Brian Cummings,Chris Lopez,Win,TKO,2007-03-15
